customerid,churn,age,gender,tenure,numofproducts,estimatedsalary
15627360,1,42,Male,9,1,110265.24
15671137,1,52,Female,1,1,8636.05
15782688,1,56,Male,0,1,46824.08
15575492,0,41,Female,7,2,171378.77
15591607,0,24,Male,9,1,167256.35
15740404,0,34,Female,3,2,124226.16
15718369,0,33,Female,9,1,114935.21
15677871,0,38,Male,9,1,35608.88
15642004,0,25,Male,1,2,16459.37
15712543,0,39,Male,7,2,124411.08
15584518,0,50,Female,5,2,34941.23
15802381,0,34,Female,5,1,167784.28
15610156,0,40,Male,2,1,93165.34
15594408,1,48,Female,2,1,75161.25
15640905,1,35,Female,1,2,8590.83
15698932,0,44,Male,10,1,189543.9
15724944,0,34,Male,7,2,180427.24
15628145,0,43,Female,5,1,193318.33
15713483,1,52,Male,2,1,159123.82
15612350,1,31,Female,5,1,126213.84
15800703,0,21,Female,5,1,54141.5
15705707,0,29,Female,8,2,141075.51
15754105,0,37,Male,5,1,24495.03
15703264,0,44,Male,9,1,74836.34
15794413,0,32,Male,0,2,878.87
15650237,0,32,Female,7,2,89520.75
15759618,1,48,Female,9,1,149892.79
15811589,0,42,Male,8,2,180800.42
15689044,0,37,Male,2,1,98646.22
15709368,0,43,Female,6,2,109041.53
15679145,1,57,Male,7,1,17941.16
15655007,0,33,Female,7,2,82996.47
15623595,0,28,Female,2,2,92067.35
15589975,0,73,Female,6,1,104719.66
15804017,0,33,Female,4,1,112687.57
15692132,0,22,Female,6,1,84699.56
15641122,0,30,Male,2,2,83473.82
15630910,0,49,Female,7,1,47125.11
15680772,0,36,Female,2,2,106977.8
15658929,1,29,Male,0,1,55582.54
15585388,0,31,Male,9,2,139874.43
15724623,1,24,Female,7,1,162503.48
15588537,0,41,Female,9,1,196499.96
15574692,1,39,Female,2,2,40721.24
15611325,0,24,Male,9,2,53134.3
15587562,0,29,Female,4,1,164017.89
15613172,0,27,Male,5,2,155996.96
15651022,1,44,Male,10,1,5472.7
15586310,0,30,Male,4,1,112187.11
15625524,0,40,Male,5,2,146457.83
15755209,0,35,Female,7,1,27286.1
15645248,0,30,Female,0,2,130553.47
15790355,0,36,Male,5,2,179351.89
15762615,0,40,Female,8,1,94774.12
15625426,1,55,Female,3,1,8080.85
15716334,0,45,Female,2,1,19482.5
15789669,0,65,Male,2,2,48071.61
15621075,0,45,Female,1,2,174531.27
15810845,0,42,Male,2,2,55470.78
15719377,1,50,Female,4,1,8546.87
15654506,0,32,Male,8,2,95857.18
15771977,0,39,Female,1,1,194945.8
15708710,0,37,Female,0,1,131521.72
15726676,0,30,Male,5,2,196108.51
15587421,0,34,Female,7,2,148564.76
15726931,1,41,Female,8,2,92982.61
15771086,0,36,Female,3,2,17675.36
15756850,0,40,Male,1,2,114996.43
15702741,0,32,Male,8,1,86957.42
15679200,0,29,Male,9,2,128077.8
15594815,0,35,Male,3,1,600.36
15635905,0,32,Female,6,2,43001.46
15777892,0,37,Male,3,1,158591.12
15656176,0,57,Male,10,2,47847.19
15811127,0,35,Male,6,1,10488.44
15604482,0,30,Male,2,1,5978.2
15622911,0,42,Male,4,1,121409.06
15600974,1,50,Male,5,1,146145.93
15727868,1,38,Female,2,2,14374.86
15627801,0,33,Male,3,1,94670.77
15773039,0,37,Male,3,1,179670.31
15755262,1,41,Female,3,1,199304.74
15679531,0,34,Male,5,1,151954.39
15684181,1,45,Male,5,1,142513.5
15612087,0,45,Male,2,1,158264.62
15752047,0,33,Male,2,2,169381.9
15624592,0,31,Male,8,2,169915.02
15573152,0,41,Female,9,2,88852.47
15594917,0,34,Female,1,1,40645.81
15785542,0,26,Male,4,2,60427.3
15723488,1,47,Male,7,1,157959.02
15680920,0,46,Male,7,1,133007.34
15786308,0,33,Female,9,2,176576.62
15659366,1,43,Male,1,2,34888.04
15774854,1,54,Male,8,1,28737.71
15725311,0,31,Female,9,2,98178.57
15787155,0,30,Male,7,1,125010.24
15727829,0,42,Male,2,2,167984.61
15733247,1,33,Male,10,1,4861.72
15568748,1,45,Male,6,1,108872.45
15699029,0,37,Male,4,2,198252.88
15774393,0,30,Female,9,2,26960.31
15676895,1,39,Female,6,3,85746.52
15637753,1,50,Male,2,1,77206.25
15605461,0,29,Female,3,1,61048.53
15808473,0,72,Male,1,2,111981.19
15627000,0,40,Male,0,2,62232.6
15787174,0,37,Female,1,2,156105.03
15723886,0,20,Male,3,2,150135.38
15704769,0,67,Female,5,2,93146.11
15772896,1,42,Male,6,1,33462.94
15711540,0,29,Female,2,1,144375.0
15764866,1,43,Female,3,3,55803.96
15794056,1,46,Female,2,3,89048.46
15795149,0,28,Male,2,2,162812.16
15812009,0,38,Male,4,2,136259.65
15651001,0,39,Female,5,1,124052.97
15813844,0,37,Male,8,2,74158.8
15596175,1,67,Male,6,1,45071.09
15576269,0,34,Male,7,2,62030.06
15797219,1,40,Female,10,1,131953.23
15685500,0,26,Male,7,2,79414.0
15599792,0,26,Female,1,2,199638.56
15657566,0,24,Male,8,1,157577.29
15772423,1,54,Male,8,1,134420.75
15628112,0,36,Female,5,1,99805.99
15753754,0,34,Female,1,2,97932.68
15793726,0,79,Female,0,2,170968.99
15694717,0,37,Male,2,1,57558.95
15665834,0,28,Male,8,1,176713.47
15765297,0,41,Male,0,2,34283.23
15636684,0,34,Male,10,2,198637.34
15592979,0,34,Female,6,2,156917.12
15750803,0,30,Female,6,1,50457.2
15607178,0,38,Male,3,1,140075.55
15713853,0,42,Male,9,2,65323.11
15673481,0,48,Female,6,1,64323.24
15686776,0,32,Female,6,2,14956.44
15673693,0,26,Female,0,1,111879.21
15700696,0,31,Male,9,1,18606.23
15813163,0,36,Female,9,1,123137.01
15653857,0,34,Male,2,2,148528.24
15777076,0,36,Male,7,2,13898.31
15717398,1,39,Female,7,1,81259.25
15799217,0,35,Female,7,1,161051.75
15787071,0,41,Male,9,2,191599.67
15619955,1,34,Male,3,3,48559.19
15796505,0,34,Female,1,2,186339.74
15725166,0,30,Male,8,2,33159.37
15800116,0,28,Male,4,1,93883.53
15758685,0,37,Female,7,2,110899.3
15694456,1,62,Male,3,1,11199.04
15767339,0,53,Female,10,2,189992.97
15683562,0,35,Male,6,1,164255.69
15782210,1,46,Male,1,1,152167.79
15668893,0,39,Male,8,2,33949.67
15669169,0,29,Male,10,2,68143.93
15643024,1,35,Male,4,1,47251.79
15699389,0,42,Male,7,1,25885.72
15708608,0,22,Female,8,2,192633.85
15626144,0,40,Male,7,2,34577.36
15573112,0,29,Male,5,1,161229.84
15790678,0,32,Female,8,1,100816.29
15727556,0,26,Female,5,1,181694.44
15697307,0,34,Male,10,2,79078.91
15652266,0,42,Male,9,1,137316.32
15607098,0,41,Female,5,2,194926.86
15655774,0,27,Male,7,2,51285.49
15590241,1,34,Female,9,1,150401.53
15785819,0,38,Male,3,2,112491.96
15723654,0,25,Male,2,1,73656.38
15774510,0,31,Female,4,1,106636.89
15684173,1,44,Female,7,3,155853.52
15650068,0,58,Male,0,1,162599.51
15811490,0,33,Male,5,2,103737.82
15803976,0,31,Female,10,2,160990.27
15682541,0,36,Female,6,1,15462.84
15695699,0,35,Male,8,2,10334.05
15624188,0,33,Female,6,2,190686.16
15812191,0,33,Male,4,1,94440.45
15636673,0,31,Male,1,1,28257.63
15594898,1,43,Male,2,1,170034.95
15660211,0,35,Male,7,2,31824.29
15773972,1,50,Male,4,1,127166.49
15746726,0,31,Male,8,1,44937.01
15712287,0,80,Female,4,2,188603.07
15702919,0,30,Male,6,1,145111.37
15674398,0,38,Male,3,2,171463.83
15797960,0,59,Female,0,1,182822.5
15631868,0,36,Male,2,1,87213.33
15581539,0,37,Male,3,2,57175.32
15662736,1,49,Male,2,1,120540.83
15666252,0,42,Male,9,2,28714.34
15677512,0,22,Female,3,1,85426.28
15626114,0,24,Male,4,1,46170.75
15810834,0,57,Female,2,1,64448.36
15678910,0,30,Female,8,1,16278.97
15694408,1,40,Male,1,1,182855.42
15585215,0,31,Female,4,2,50404.72
15682757,0,30,Male,3,2,107640.25
15736601,0,35,Male,4,1,134132.65
15601848,0,35,Male,2,2,103480.69
15736008,1,46,Female,9,1,108761.05
15669064,0,35,Male,1,1,179012.3
15624528,0,26,Male,7,2,95145.14
15598493,0,50,Male,7,2,72143.44
15601274,0,40,Female,1,1,19162.89
15702669,0,44,Male,2,2,144680.18
15728669,1,30,Female,8,1,177772.03
15742668,0,37,Female,6,1,5597.94
15697441,1,29,Male,7,1,116828.51
15740476,0,32,Female,3,2,174652.51
15648064,0,33,Male,2,2,2010.98
15636624,1,39,Female,5,1,14109.85
15807923,1,39,Female,10,1,43527.4
15745844,1,40,Female,6,2,86099.23
15786170,0,31,Male,4,1,161574.19
15681081,0,47,Female,5,2,38970.14
15684484,0,22,Male,8,2,127587.22
15785869,0,25,Female,7,2,30380.12
15763859,0,43,Female,7,2,90908.95
15658935,0,34,Female,9,2,138275.01
15747358,0,59,Male,3,1,32171.79
15735203,0,32,Female,1,1,126143.23
15576256,0,39,Male,5,2,129892.93
15659420,0,32,Male,3,2,102416.84
15593365,0,39,Male,2,1,18719.67
15777352,0,32,Female,7,1,61936.22
15812007,0,25,Male,6,2,78358.94
15625461,0,45,Female,1,2,147224.27
15739438,0,30,Male,0,2,160979.66
15611759,0,57,Female,8,2,132298.49
15661629,1,34,Male,9,1,174248.52
15633950,0,41,Male,1,1,123547.28
15592386,0,58,Male,3,2,32790.02
15803716,0,28,Male,3,2,181543.67
15696674,1,45,Female,2,1,2319.96
15706365,0,50,Female,9,1,189543.19
15745088,0,29,Female,9,2,10940.4
15676715,0,68,Male,9,2,199493.38
15613085,0,33,Female,3,1,188193.25
15633537,0,42,Female,9,2,172572.64
15594720,0,35,Female,8,2,189339.6
15684042,0,34,Male,2,2,53512.16
15583303,0,29,Female,2,1,34004.44
15611579,0,42,Male,4,1,10598.29
15774696,0,75,Female,1,2,113428.77
15694506,0,31,Male,0,2,183487.98
15688074,0,31,Male,1,1,187658.09
15759537,0,35,Male,7,2,172459.39
15758449,0,39,Female,8,1,21016.0
15583456,1,45,Male,10,3,122381.02
15667871,0,35,Male,4,1,128123.66
15677371,0,30,Female,2,1,19570.63
15629677,1,39,Female,2,3,188150.6
15713578,0,50,Female,9,2,111020.24
15591509,0,36,Male,7,2,123775.15
15568240,0,30,Female,10,2,146700.22
15622993,0,28,Male,8,2,145251.35
15689294,0,44,Male,3,1,82463.69
15720910,0,66,Female,9,1,15928.49
15721181,0,46,Male,6,2,45886.33
15776433,0,62,Male,2,2,186489.95
15748936,0,45,Female,2,2,162922.65
15717225,0,21,Female,10,2,9262.77
15685226,0,29,Female,7,1,84932.4
15785611,0,38,Male,3,1,71557.12
15573456,1,46,Male,9,2,77405.95
15684548,1,38,Male,8,2,417.41
15620505,0,24,Female,0,1,71405.17
15807432,0,37,Female,2,2,153400.24
15584766,0,33,Male,3,1,371.05
15612187,0,32,Male,8,1,67789.99
15762218,0,39,Female,9,2,145894.9
15646372,1,66,Female,1,1,183840.51
15690452,0,52,Male,1,1,108887.44
15747795,0,38,Female,4,1,154071.27
15781589,0,52,Male,8,2,179291.85
15732674,0,36,Male,6,2,56937.43
15642291,0,23,Male,8,2,112239.03
15692761,0,36,Male,9,1,45909.87
15578045,1,49,Female,9,1,173779.25
15745354,0,37,Female,4,2,125696.26
15701376,0,37,Male,10,2,159585.61
15691625,0,41,Female,3,1,106761.47
15566594,0,23,Male,10,2,129590.18
15760431,0,38,Male,1,2,80006.65
15686302,0,31,Female,3,1,140451.52
15801559,1,41,Female,9,3,187929.43
15810432,0,35,Male,8,2,167155.36
15809616,0,26,Male,8,2,191420.71
15720559,1,61,Female,5,1,11384.45
15695632,0,39,Female,9,1,94898.1
15659843,0,46,Female,6,2,106781.59
15615624,0,28,Female,6,2,159508.52
15810418,1,60,Female,3,1,93524.19
15716186,0,38,Female,2,2,87168.46
15674551,1,40,Male,7,1,8128.32
15622834,0,35,Female,4,1,125518.32
15566111,0,39,Male,9,1,48963.59
15784597,0,26,Male,9,1,98368.24
15652883,0,39,Male,10,2,148584.61
15806964,0,45,Male,0,1,27474.81
15576313,0,40,Female,9,1,76192.21
15806467,1,40,Male,1,1,134600.94
15597602,1,57,Male,3,1,72467.99
15743040,0,41,Male,2,2,199645.45
15705521,0,33,Female,0,1,42749.85
15595039,1,37,Female,8,1,136050.44
15799384,0,33,Male,8,1,73564.44
15581197,0,51,Female,3,1,85578.63
15693737,0,30,Female,4,2,129826.89
15624623,0,35,Male,10,2,119666.0
15783501,0,38,Female,2,2,68052.08
15690134,0,42,Female,3,1,164104.74
15782735,0,35,Female,3,1,80190.36
15611088,0,31,Female,9,2,84126.75
15672145,0,34,Female,7,2,70179.0
15732628,0,46,Male,2,1,118024.1
15787470,1,47,Male,3,1,145704.19
15803406,0,26,Female,1,1,183049.41
15730460,0,37,Male,2,1,120906.83
15644572,0,40,Male,4,1,100433.83
15694860,1,38,Female,6,1,138777.0
15658169,0,47,Female,6,2,124694.99
15794396,0,38,Female,7,1,40084.32
15785798,0,40,Male,9,2,119232.33
15710825,0,31,Male,7,1,43921.36
15668444,0,44,Female,3,1,62222.81
15726631,0,39,Female,6,1,56577.0
15733797,0,36,Male,5,2,164253.35
15747960,0,33,Male,3,1,7666.73
15634632,0,38,Male,3,2,68487.51
15707362,1,43,Male,1,1,199273.98
15662976,0,37,Male,8,1,186062.36
15732778,0,29,Male,1,2,195711.16
15718443,0,39,Male,3,2,36692.17
15670039,0,25,Female,3,2,106920.57
15773792,1,32,Female,4,1,48725.68
15613786,0,26,Male,4,2,167036.94
15726032,0,33,Male,9,1,68777.26
15663252,0,32,Female,9,2,18924.92
15593782,1,38,Female,5,3,71905.77
15633283,0,35,Male,8,2,64833.28
15749167,0,35,Male,3,2,184843.77
15759298,0,27,Male,10,1,176730.02
15683625,1,37,Male,1,1,20629.4
15635367,0,26,Male,2,1,28415.36
15681705,0,28,Male,8,2,77231.27
15603156,0,33,Female,1,2,102750.7
15591986,1,46,Male,6,1,34580.8
15798888,0,31,Female,1,1,183598.77
15809722,0,40,Female,8,2,147358.27
15677538,0,38,Male,7,1,108469.2
15797736,0,29,Male,4,1,20612.82
15695585,0,34,Male,6,1,181196.76
15744398,0,23,Female,5,2,160249.1
15750658,0,37,Male,8,3,110783.28
15578186,0,37,Male,9,2,144995.33
15676519,1,61,Male,9,2,150227.85
15637954,0,35,Female,0,1,53718.28
15758639,0,37,Male,7,2,75248.3
15613772,1,39,Male,3,1,14353.43
15731744,0,30,Male,2,2,130486.57
15807709,0,55,Female,9,1,100127.71
15714689,0,29,Male,1,1,196356.17
15699005,0,41,Female,2,1,9983.88
15624170,0,38,Female,4,2,118974.77
15725679,1,47,Female,6,1,194998.34
15585865,1,38,Female,2,2,134901.34
15804256,0,36,Male,8,2,72924.56
15662403,0,32,Female,6,2,101057.95
15733616,0,40,Male,5,1,142838.64
15591995,0,26,Male,8,2,127059.04
15677020,1,58,Female,8,1,116503.92
15727688,0,32,Male,4,2,54405.79
15715941,0,54,Male,5,2,88721.84
15714485,1,60,Male,5,1,74135.48
15730059,0,44,Male,9,2,111346.22
15715527,0,41,Female,4,1,194902.16
15576623,0,31,Male,5,2,31474.27
15805565,0,30,Male,7,1,21198.39
15677307,0,40,Female,6,1,186976.6
15773890,0,22,Male,5,2,117202.19
15598883,0,37,Female,2,2,143739.29
15568506,0,31,Female,10,2,161811.23
15761043,0,38,Female,6,2,98090.91
15782236,0,34,Male,5,2,71095.41
15593601,0,34,Male,6,1,13107.24
15682048,1,51,Female,3,1,67110.59
15746902,0,38,Male,9,2,88225.02
15752081,1,56,Female,10,3,62256.87
15781307,0,37,Male,7,2,135925.72
15775912,1,48,Male,4,2,177815.87
15745417,0,58,Male,6,1,126471.13
15671256,1,35,Female,1,1,188574.12
15653547,0,56,Male,7,1,119175.45
15595766,0,37,Male,5,2,139093.73
15742358,0,32,Male,8,1,115916.55
15763274,0,48,Male,3,1,96463.25
15786063,0,31,Female,2,2,112349.51
15600258,0,43,Male,2,2,165303.79
15573318,0,26,Male,8,2,166031.08
15653849,1,48,Female,3,1,38411.79
15694272,0,30,Male,1,1,77783.35
15736112,0,57,Female,2,2,29871.79
15749851,0,26,Female,4,1,59747.63
15663478,0,32,Male,6,1,79919.13
15592300,0,35,Male,10,1,76773.53
15567832,0,40,Female,7,1,54018.93
15776780,1,59,Male,1,1,70649.64
15592846,0,35,Male,10,2,59093.39
15739803,0,34,Male,9,2,127569.8
15794142,1,62,Female,5,3,18260.98
15762729,1,28,Female,1,1,73275.96
15667896,0,37,Male,8,2,136129.49
15626578,0,26,Male,9,2,153237.59
15776223,0,42,Female,4,1,106841.12
15705953,1,51,Male,0,1,109078.35
15802593,1,49,Female,7,3,87822.14
15615457,0,44,Female,2,2,126644.98
15708916,0,38,Male,0,2,47414.15
15720187,0,30,Female,7,2,41879.99
15595440,0,49,Male,7,2,75808.1
15600651,0,24,Male,1,3,47911.03
15750141,0,36,Female,3,2,28737.78
15657284,1,47,Male,6,1,2079.2
15763063,0,25,Female,10,1,121562.33
15709324,0,34,Male,7,2,55003.79
15711309,0,33,Male,3,1,193131.42
15775318,1,51,Female,3,3,191932.27
15705515,0,40,Male,5,2,159418.1
15634844,1,41,Male,3,1,191468.78
15717046,0,53,Male,3,2,38913.68
15571816,0,70,Female,5,1,705.18
15670080,0,29,Female,7,1,138490.03
15800440,0,61,Male,1,1,82970.69
15665678,0,36,Male,8,1,76744.72
15665956,1,46,Female,1,1,71244.59
15788126,0,38,Female,6,1,12182.15
15811773,0,36,Male,4,2,141210.5
15651674,1,54,Female,2,1,191763.07
15689614,0,63,Female,1,1,37938.74
15795564,0,31,Male,5,2,74890.58
15706647,0,31,Male,7,3,166698.18
15728505,0,44,Male,1,2,62678.53
15730076,1,45,Male,1,1,67740.08
15622003,0,35,Male,9,2,161519.77
15607312,1,49,Female,10,2,159835.78
15644753,0,40,Male,3,1,30876.84
15653620,0,27,Female,8,2,14858.1
15761986,0,32,Female,3,1,75685.97
15633922,0,30,Male,4,2,144183.1
15734674,0,41,Female,6,1,65170.66
15658032,0,39,Male,2,2,82526.92
15692671,0,36,Male,8,2,169161.46
15737741,1,33,Female,2,2,109291.39
15576352,0,57,Female,3,2,6057.81
15753719,0,30,Female,9,1,77077.14
15803689,1,51,Female,1,2,54954.51
15718057,1,51,Female,2,1,179614.8
15722010,1,53,Male,9,1,35588.07
15680998,0,44,Male,5,1,117356.14
15614782,0,36,Male,1,1,160696.72
15591047,1,47,Female,6,2,147278.43
15788291,1,38,Female,7,1,56594.36
15604044,0,38,Male,8,1,1299.75
15679587,0,34,Female,9,1,25095.03
15775153,0,32,Male,4,1,146326.45
15603925,0,26,Female,4,2,38296.21
15680970,0,41,Female,2,1,164061.6
15697183,0,43,Male,9,2,107811.28
15567446,0,39,Male,9,1,30838.51
15637476,1,57,Female,5,1,9221.78
15714939,0,34,Female,4,1,33738.27
15683503,1,43,Female,8,3,110916.15
15645569,0,26,Female,7,2,169654.57
15782569,0,72,Female,9,1,69829.4
15592387,1,30,Male,5,1,54926.51
15609286,0,37,Male,10,1,94728.49
15814035,0,29,Male,9,1,80393.27
15661249,0,53,Male,4,2,111307.98
15629117,0,28,Male,10,2,19834.32
15607170,0,35,Male,5,2,78397.24
15586585,0,51,Female,2,1,86410.28
15686611,0,30,Male,10,1,172749.65
15603203,0,27,Female,6,2,1002.39
15619857,0,64,Female,2,1,13601.79
15805062,0,38,Male,1,1,77866.91
15660271,0,26,Male,8,1,175296.76
15745295,1,31,Female,0,1,121751.04
15719352,0,39,Male,6,2,89593.26
15766575,1,62,Female,8,1,193437.89
15594594,0,42,Male,7,1,86945.0
15646161,0,37,Female,8,2,183318.79
15682585,0,35,Male,9,1,71154.1
15603134,0,40,Female,10,1,151887.16
15636444,0,53,Female,5,2,75888.65
15773456,0,36,Male,3,2,89566.74
15745307,0,48,Female,2,1,26475.79
15604119,0,35,Male,7,1,126355.8
15626900,0,29,Male,1,1,93839.3
15605447,0,49,Male,2,1,7698.6
15589030,0,47,Male,1,2,145593.85
15692463,0,28,Female,3,1,45042.56
15712403,1,61,Female,1,1,61108.56
15811762,1,54,Female,6,1,57553.98
15718673,0,33,Female,10,1,62674.42
15724282,0,44,Male,3,2,12120.79
15738181,1,31,Male,6,2,50129.87
15633648,0,51,Female,5,2,55022.43
15603323,0,33,Female,1,2,117834.91
15583725,0,48,Male,1,1,168840.23
15588350,0,43,Female,10,1,24234.11
15798398,0,36,Female,4,1,190627.01
15784844,1,48,Male,5,1,156618.38
15580684,0,29,Female,5,1,42334.38
15809663,0,27,Female,1,1,110784.42
15640078,1,39,Female,5,1,173683.0
15698786,1,39,Female,9,1,27046.46
15569807,1,34,Female,8,1,20598.59
15730830,0,30,Female,3,2,104991.28
15805112,0,38,Male,7,1,8996.97
15633064,0,36,Female,4,2,64420.5
15703119,0,38,Male,6,2,145700.22
15730447,0,49,Female,4,2,196335.48
15813850,0,52,Male,7,1,14781.12
15711889,0,42,Male,3,1,108139.23
15664610,1,48,Male,4,1,19287.06
15751710,0,31,Male,8,2,9567.39
15692926,0,25,Male,8,1,132210.49
15813741,0,25,Male,6,1,21600.11
15698474,0,54,Female,1,2,199661.5
15568595,0,64,Male,9,1,124341.49
15603065,0,30,Female,6,2,15766.1
15592937,0,41,Female,3,1,33642.21
15699637,0,57,Male,8,1,117704.65
15667215,0,31,Male,2,2,58803.28
15788659,0,46,Male,4,2,137537.22
15763218,0,41,Female,1,2,131300.68
15645772,0,33,Male,9,2,84174.81
15725511,0,31,Female,3,1,160941.78
15575024,0,29,Male,3,2,143954.99
15640825,0,46,Male,3,1,56297.85
15662397,0,42,Female,5,1,8404.73
15576368,0,48,Female,3,2,30020.09
15674991,0,42,Male,9,2,58137.42
15721024,0,26,Male,0,1,47472.68
15745621,0,32,Female,6,2,19131.71
15642394,0,35,Male,5,2,187288.5
15754605,0,39,Female,5,2,17603.81
15607040,0,38,Female,4,2,67020.03
15715142,1,45,Male,7,1,147802.94
15810978,0,70,Female,1,2,41610.62
15668886,0,38,Female,3,2,44255.65
15780804,0,55,Male,5,1,78416.14
15613880,0,58,Male,5,1,137254.55
15775238,0,41,Female,4,1,151303.48
15786905,0,40,Female,8,2,86333.63
15747867,0,24,Male,9,1,89801.9
15600337,1,42,Male,2,1,29358.57
15801277,0,31,Female,2,2,181600.72
15579334,1,45,Female,5,1,124118.71
15802741,1,51,Female,7,1,38867.46
15720649,0,36,Female,5,1,31106.67
15589493,0,27,Male,1,2,67611.36
15688251,0,43,Male,1,2,77837.63
15665238,0,36,Male,8,1,6078.46
15740900,0,34,Male,6,2,177896.92
15681068,0,45,Female,2,1,123882.73
15748625,0,57,Male,6,2,15304.08
15727299,1,62,Male,1,1,76569.64
